TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,{<how do I>{Something} with/in {tool}},4,1,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Prep,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Run `egghead-start` automator workflow,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Create code example,4,3,Trevor (6558887),,,en,America/Denver
note,Git repo,,,Trevor (6558887),,,,
note,`npm install ... —save-exact` dependencies,,,Trevor (6558887),,,,
note,Push to GitHub,,,Trevor (6558887),,,,
,,,,,,,,
task,Create chunk outline,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,{Some chunk},4,4,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Record,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Edit,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Hide mouse pointer,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Cut the fat,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Export `customized` + check `mono` audio,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Finish,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Upload on https://egghead.io (egghead.io),4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Run `egghead-end` automator workflow,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Post publish,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Share on blog,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Share on Buffer (with related at-mentions),4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Add to random re-buffer list,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Submit to related newsletter(s)/chat groups/documentation,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
