TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,{<how do I>{Something} with/in {tool}},4,1,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,`egghead-start` automator workflow,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,"Turn on “Do Not Disturb""",4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Turn off F.lux,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,"Set “RDM” to “1280 x 720 HiDPI""",4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Recording prep,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Create code example,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Git repo,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,`npm install ... —save-exact` dependencies,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Push to GitHub,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Record chunks,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,{some chunk},4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Edit,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Hide mouse pointer,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Cut the fat,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Export “customized” to mono,4,3,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,https://egghead.io (Egghead.io) uploader,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,`egghead-end` automator workflow,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Turn on f.lux,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,Turn off do not disturb,4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
task,"Set RDM to “”1920 x 1080” || “1280 x 800 HiDPI""",4,2,Trevor (6558887),,,en,America/Denver
,,,,,,,,
